0.000000 	 0.600000
0.010000 	 0.605250
0.020000 	 0.611000
0.030000 	 0.617250
0.040000 	 0.624000
0.050000 	 0.631250
0.060000 	 0.639000
0.070000 	 0.647250
0.080000 	 0.656000
0.090000 	 0.665250
0.100000 	 0.675000
0.110000 	 0.685250
0.120000 	 0.696000
0.130000 	 0.707250
0.140000 	 0.719000
0.150000 	 0.731250
0.160000 	 0.744000
0.170000 	 0.757250
0.180000 	 0.771000
0.190000 	 0.785250
0.200000 	 0.800000
0.210000 	 0.815250
0.220000 	 0.831000
0.230000 	 0.847250
0.240000 	 0.864000
0.250000 	 0.881250
0.260000 	 0.899000
0.270000 	 0.917250
0.280000 	 0.936000
0.290000 	 0.955250
0.300000 	 0.975000
0.310000 	 0.995250
0.320000 	 1.016000
0.330000 	 1.037250
0.340000 	 1.059000
0.350000 	 1.081250
0.360000 	 1.104000
0.370000 	 1.127250
0.380000 	 1.151000
0.390000 	 1.175250
0.400000 	 1.200000
